Product ID,Product Name,Order Date,Sales,Quantity,Category,Region,Cost,Profit
107,Blender,15-10-2023,529,7,Electronics,East,299,230
104,Microwave,15-10-2023,622,1,Electronics,West,163,459
113,Blender,25-03-2023,507,4,Appliances,West,133,374
111,Microwave,15-05-2023,414,7,Electronics,North,124,290
108,Blender,15-10-2023,908,9,Appliances,South,509,399
113,Blender,03-11-2023,400,5,Appliances,South,270,130
105,Laptop,20-03-2023,1473,2,Electronics,West,42,1431
107,Headphones,15-05-2023,302,7,Electronics,North,176,126
110,Smartphone,15-10-2023,830,1,Appliances,North,124,706
103,Blender,10-02-2023,852,7,Appliances,South,322,530
107,Coffee Maker,12-07-2023,1061,6,Appliances,North,54,1007
111,Blender,10-02-2023,508,7,Electronics,East,301,207
111,Coffee Maker,01-10-2023,966,3,Electronics,East,534,432
108,Headphones,20-06-2023,548,3,Electronics,South,195,353
105,Coffee Maker,10-08-2023,999,7,Electronics,South,116,883
104,Smartphone,15-01-2023,557,2,Electronics,North,520,37
108,Smartphone,12-07-2023,1377,1,Appliances,North,170,1207
108,Headphones,20-06-2023,550,9,Electronics,South,132,418
103,Smartphone,15-05-2023,852,9,Appliances,East,255,597
106,Laptop,15-05-2023,647,7,Appliances,East,323,324
105,Blender,15-05-2023,215,7,Electronics,North,335,-120
102,Blender,10-08-2023,1488,3,Electronics,East,283,1205
108,Laptop,10-02-2023,511,2,Appliances,North,209,302
112,Laptop,15-01-2023,969,7,Electronics,North,69,900
114,Smartphone,03-11-2023,163,9,Electronics,North,549,-386
106,Coffee Maker,15-10-2023,1041,1,Appliances,East,575,466
102,Smartphone,15-05-2023,1429,4,Electronics,South,265,1164
112,Microwave,05-09-2023,256,6,Electronics,South,492,-236
105,Laptop,01-10-2023,1308,7,Appliances,East,257,1051
101,Laptop,12-07-2023,1428,7,Electronics,South,512,916
112,Laptop,20-03-2023,564,2,Electronics,North,459,105
110,Coffee Maker,15-10-2023,1281,4,Appliances,South,51,1230
106,Blender,05-09-2023,758,5,Appliances,East,372,386
113,Laptop,15-01-2023,1198,1,Electronics,South,69,1129
112,Blender,10-08-2023,187,1,Electronics,North,202,-15
109,Coffee Maker,03-11-2023,388,3,Appliances,North,468,-80
101,Blender,03-11-2023,586,3,Electronics,East,208,378
111,Headphones,15-01-2023,117,8,Electronics,East,162,-45
111,Smartphone,20-03-2023,432,9,Appliances,East,380,52
110,Laptop,12-07-2023,68,1,Electronics,West,554,-486
112,Laptop,20-12-2023,732,2,Electronics,West,569,163
112,Microwave,20-03-2023,123,2,Appliances,North,535,-412
114,Microwave,03-11-2023,622,4,Appliances,West,113,509
114,Blender,25-03-2023,988,2,Electronics,West,493,495
114,Laptop,12-07-2023,1349,7,Electronics,West,372,977
103,Blender,15-01-2023,1121,9,Electronics,South,309,812
112,Headphones,03-11-2023,260,7,Electronics,East,292,-32
107,Coffee Maker,03-11-2023,904,6,Appliances,South,195,709
