Order ID,Date,Product,Category,Sales,Quantity,Customer ID
ORD001,16-09-2023,Football,Sports,403.94,3,CUST1023
ORD002,24-07-2023,Puzzle,Toys,43.34,5,CUST1006
ORD003,19-11-2023,Toaster,Home & Kitchen,268.19,,CUST1015
ORD004,06-06-2022,Smartphone,Electronics,85.38,10,CUST1020
ORD005,30-04-2023,Blender,Home & Kitchen,344.29,2,CUST1015
ORD006,23-09-2022,Smartphone,Electronics,220.19,4,CUST1019
ORD007,21-01-2022,Basketball,Sports,39.94,2,CUST1007
ORD008,04-06-2023,Smartphone,Electronics,191.2,8,CUST1023
ORD009,11-11-2022,Microwave,Home & Kitchen,128.56,,CUST1002
ORD010,02-12-2022,Puzzle,Toys,,7,CUST1018
ORD011,21-07-2023,Laptop,Electronics,487.86,,CUST1013
ORD012,12-01-2023,Microwave,Home & Kitchen,194.6,4,CUST1024
ORD013,18-08-2023,Blender,Home & Kitchen,94.12,6,CUST1015
ORD014,14-03-2023,Lego Set,Toys,226.09,9,CUST1021
ORD015,13-02-2023,Doll,Toys,150.53,5,CUST1013
ORD016,13-04-2022,Headphones,Electronics,391.61,5,CUST1024
ORD017,23-04-2022,Headphones,Electronics,378.17,,CUST1002
ORD018,02-03-2022,T-Shirt,Clothing,217.71,3,CUST1012
ORD019,15-03-2022,Jacket,Clothing,286.14,8,CUST1003
ORD020,05-07-2023,Tennis Racket,Sports,394.94,1,CUST1024
ORD021,13-05-2022,Football,Sports,163.59,5,CUST1011
ORD022,16-09-2023,Doll,Toys,186.17,1,CUST1012
ORD023,15-08-2023,Smartphone,Electronics,202.25,6,CUST1005
ORD024,29-01-2022,Tennis Racket,Sports,292.15,1,CUST1003
ORD025,01-11-2022,Football,Sports,269.01,5,CUST1010
ORD026,27-04-2023,Blender,Home & Kitchen,349.03,2,CUST1016
ORD027,04-03-2023,Laptop,Electronics,239.33,10,CUST1003
ORD028,31-05-2023,Doll,Toys,230.92,,CUST1001
ORD029,18-07-2022,Toaster,Home & Kitchen,351.68,9,CUST1011
ORD030,24-12-2022,Toaster,Home & Kitchen,76.18,6,CUST1000
ORD031,17-08-2023,Blender,Home & Kitchen,40.6,,CUST1007
ORD032,14-09-2022,Jacket,Clothing,,9,CUST1012
ORD033,25-04-2022,Microwave,Home & Kitchen,136.45,10,CUST1022
ORD034,11-07-2022,Laptop,Electronics,174.25,5,CUST1015
ORD035,27-06-2023,Jacket,Clothing,413.43,,CUST1014
ORD036,17-09-2023,Jacket,Clothing,111.08,5,CUST1004
ORD037,13-11-2023,Doll,Toys,395.01,1,CUST1025
ORD038,09-07-2023,Puzzle,Toys,,4,CUST1003
ORD039,17-09-2023,Puzzle,Toys,395.64,10,CUST1022
ORD040,19-11-2022,Basketball,Sports,51.66,2,CUST1021
ORD041,20-05-2023,Headphones,Hme & Kitchen,85.46,6,CUST1006
ORD042,11-08-2022,Tennis Racket,Elctronics,142.69,,CUST1025
ORD043,31-12-2022,Toaster,Home & Kitchen,412.64,1,CUST1013
ORD044,03-10-2022,Blender,Home & Kitchen,45.95,1,CUST1016
ORD045,22-11-2022,Smartphone,Electronics,396.93,4,CUST1019
ORD046,04-12-2022,Jeans,Clothing,381.89,2,CUST1009
ORD047,10-07-2022,Toaster,Home & Kitchen,225.48,6,CUST1016
ORD048,03-03-2023,Laptop,Electronics,370.6,10,CUST1022
ORD049,10-03-2023,T-Shirt,Clothing,148.36,9,CUST1019
ORD050,25-08-2022,Jeans,Clothing,272.48,7,CUST1017
