OrderID,Date,Region,Product,Quantity,SalesAmount
1,21-02-2021,South,Monitor,8,1762
2,03-04-2021,North,Keyboard,1,254
3,15-01-2021,West,Laptop,9,589
4,13-03-2021,West,Monitor,9,1509
5,02-03-2021,West,Keyboard,2,884
6,21-01-2021,North,Tablet,7,1227
7,24-03-2021,North,Tablet,3,1516
8,28-03-2021,North,Tablet,7,1934
9,16-03-2021,East,Tablet,9,345
10,16-03-2021,North,Tablet,4,1299
11,29-03-2021,North,Keyboard,1,1162
12,10-04-2021,North,Keyboard,2,1600
13,24-01-2021,East,Smartphone,1,1805
14,03-01-2021,North,Headphones,5,858
15,22-01-2021,West,Tablet,5,637
16,22-02-2021,North,Laptop,7,1990
17,02-01-2021,West,Keyboard,9,1941
18,29-03-2021,West,Laptop,9,1020
19,30-01-2021,West,Laptop,3,507
20,07-02-2021,East,Laptop,3,624
21,02-01-2021,East,Smartphone,3,927
22,05-03-2021,East,Keyboard,4,1629
23,01-03-2021,North,Laptop,8,1002
24,21-01-2021,West,Tablet,6,1948
25,02-02-2021,East,Monitor,8,135
26,17-03-2021,East,Laptop,1,784
27,27-02-2021,North,Smartphone,8,119
28,22-01-2021,East,Keyboard,4,420
29,30-03-2021,North,Smartphone,1,1899
30,18-02-2021,South,Laptop,8,611
31,01-04-2021,East,Keyboard,4,499
32,28-02-2021,South,Monitor,6,753
33,11-02-2021,North,Laptop,8,1071
34,02-04-2021,West,Smartphone,4,570
35,01-03-2021,East,Headphones,3,1266
36,21-03-2021,North,Tablet,9,1215
37,15-01-2021,West,Smartphone,3,1477
38,03-03-2021,West,Keyboard,9,933
39,03-03-2021,South,Laptop,2,1923
40,16-02-2021,North,Tablet,2,826
41,03-03-2021,West,Laptop,2,953
42,20-02-2021,East,Keyboard,6,150
43,24-02-2021,East,Laptop,3,1788
44,05-03-2021,South,Headphones,9,1821
45,03-01-2021,West,Tablet,4,674
46,20-02-2021,North,Tablet,1,1313
47,07-01-2021,East,Keyboard,4,1248
48,21-01-2021,West,Headphones,1,249
49,14-03-2021,West,Smartphone,5,413
50,08-02-2021,South,Laptop,4,669
51,18-01-2021,East,Monitor,8,1465
52,04-01-2021,East,Laptop,8,404
53,30-03-2021,North,Laptop,7,1815
54,01-03-2021,East,Smartphone,3,781
55,14-01-2021,North,Laptop,1,937
56,09-01-2021,East,Headphones,1,1906
57,31-03-2021,South,Headphones,3,1177
58,22-02-2021,East,Tablet,6,1102
59,02-01-2021,North,Keyboard,7,543
60,25-03-2021,North,Monitor,6,712
61,02-04-2021,South,Laptop,6,1092
62,01-03-2021,East,Laptop,6,363
63,12-03-2021,East,Smartphone,3,1176
64,13-02-2021,South,Keyboard,6,1695
65,08-01-2021,East,Headphones,8,1103
66,16-02-2021,East,Monitor,2,1743
67,04-02-2021,North,Tablet,5,104
68,19-03-2021,East,Headphones,1,1226
69,22-03-2021,East,Keyboard,1,1319
70,05-02-2021,South,Tablet,5,873
71,19-02-2021,South,Smartphone,3,976
72,04-01-2021,West,Smartphone,4,1091
73,02-01-2021,North,Laptop,3,983
74,06-01-2021,East,Keyboard,1,1473
75,23-02-2021,East,Monitor,1,146
76,04-01-2021,West,Tablet,5,966
77,23-02-2021,East,Headphones,6,922
78,03-04-2021,North,Keyboard,3,1035
79,04-03-2021,West,Keyboard,9,1943
80,18-01-2021,North,Smartphone,5,755
81,31-03-2021,West,Laptop,8,368
82,13-02-2021,West,Laptop,1,469
83,03-02-2021,South,Tablet,5,735
84,15-03-2021,North,Smartphone,3,1229
85,03-03-2021,East,Keyboard,1,1793
86,10-04-2021,East,Monitor,4,1782
87,14-01-2021,North,Smartphone,5,756
88,05-04-2021,East,Tablet,7,219
89,17-02-2021,East,Tablet,1,930
90,15-01-2021,North,Smartphone,3,1910
91,13-03-2021,West,Tablet,2,1727
92,19-03-2021,North,Smartphone,9,1181
93,28-03-2021,West,Headphones,6,1469
94,03-03-2021,East,Smartphone,3,840
95,09-02-2021,East,Smartphone,8,1597
96,26-03-2021,East,Tablet,8,216
97,21-03-2021,South,Tablet,2,1953
98,23-03-2021,West,Laptop,6,890
99,22-02-2021,South,Laptop,7,1250
100,24-01-2021,South,Headphones,2,1516
